Folder,EventName,InternalEventName,EventDate,TicketType,Quantity,ItemPrice,Price
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 7:30:00 PM",Member,1,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 7:30:00 PM",Senior Citizen,4,8.25,33
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 7:30:00 PM",Student,7,8.50,59.50
0 - Features,A Ghost Story,A Ghost Story,"Jul 28, 2017 7:30:00 PM",Adult,22,9.75,214.50
0 - Features,A Ghost Story,A Ghost Story,"Jul 28, 2017 7:30:00 PM",Senior Citizen,17,8,136
0 - Features,A Ghost Story,A Ghost Story,"Jul 28, 2017 7:30:00 PM",Student,9,8.25,74.25
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 2:30:00 PM",Adult,7,8.25,57.75
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 2:30:00 PM",Senior Citizen,4,7.50,30
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 2:30:00 PM",Student,4,7.50,30
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 5:00:00 PM",Adult,6,8.25,49.50
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 5:00:00 PM",Senior Citizen,2,7.50,15
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 5:00:00 PM",Student,3,7.50,22.50
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 7:30:00 PM",Adult,25,9.75,243.75
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 7:30:00 PM",Senior Citizen,12,8,96
0 - Features,A Ghost Story,A Ghost Story,"Jul 29, 2017 7:30:00 PM",Student,1,8.25,8.25
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 2:30:00 PM",Adult,13,8.25,107.25
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 2:30:00 PM",Senior Citizen,9,7.50,67.50
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 2:30:00 PM",Student,2,7.50,15
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 5:00:00 PM",Adult,8,8.25,66
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 5:00:00 PM",Senior Citizen,4,7.50,30
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 5:00:00 PM",Student,2,7.50,15
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 7:30:00 PM",Adult,9,9.75,87.75
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 7:30:00 PM",Senior Citizen,4,8,32
0 - Features,A Ghost Story,A Ghost Story,"Jul 30, 2017 7:30:00 PM",Student,2,8.25,16.50
0 - Features,A Ghost Story,A Ghost Story,"Jul 31, 2017 5:00:00 PM",Adult,13,8.25,107.25
0 - Features,A Ghost Story,A Ghost Story,"Jul 31, 2017 5:00:00 PM",Senior Citizen,2,7.50,15
0 - Features,A Ghost Story,A Ghost Story,"Jul 31, 2017 7:30:00 PM",Adult,11,9.75,107.25
0 - Features,A Ghost Story,A Ghost Story,"Jul 31, 2017 7:30:00 PM",Member,1,0,0
0 - Features,A Ghost Story,A Ghost Story,"Jul 31, 2017 7:30:00 PM",Senior Citizen,5,8,40
0 - Features,A Ghost Story,A Ghost Story,"Jul 31, 2017 7:30:00 PM",Student,9,8.25,74.25
0 - Features,A Ghost Story,A Ghost Story,"Aug 1, 2017 5:00:00 PM",Adult,3,8.25,24.75
0 - Features,A Ghost Story,A Ghost Story,"Aug 1, 2017 5:00:00 PM",Member,1,0,0
0 - Features,A Ghost Story,A Ghost Story,"Aug 1, 2017 5:00:00 PM",Senior Citizen,2,7.50,15
0 - Features,A Ghost Story,A Ghost Story,"Aug 1, 2017 7:30:00 PM",Adult,15,9.75,146.25
0 - Features,A Ghost Story,A Ghost Story,"Aug 1, 2017 7:30:00 PM",Senior Citizen,2,8,16
0 - Features,A Ghost Story,A Ghost Story,"Aug 1, 2017 7:30:00 PM",Student,2,8.25,16.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 2, 2017 5:00:00 PM",Adult,7,8.25,57.75
0 - Features,A Ghost Story,A Ghost Story,"Aug 2, 2017 5:00:00 PM",Senior Citizen,3,7.50,22.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 2, 2017 5:00:00 PM",Student,2,7.50,15
0 - Features,A Ghost Story,A Ghost Story,"Aug 2, 2017 7:30:00 PM",Adult,17,9.75,165.75
0 - Features,A Ghost Story,A Ghost Story,"Aug 2, 2017 7:30:00 PM",Senior Citizen,4,8,32
0 - Features,A Ghost Story,A Ghost Story,"Aug 3, 2017 5:00:00 PM",Adult,4,8.25,33
0 - Features,A Ghost Story,A Ghost Story,"Aug 3, 2017 5:00:00 PM",Senior Citizen,2,7.50,15
0 - Features,A Ghost Story,A Ghost Story,"Aug 3, 2017 7:30:00 PM",Adult,14,9.75,136.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 3, 2017 7:30:00 PM",Senior Citizen,1,8,8
0 - Features,A Ghost Story,A Ghost Story,"Aug 3, 2017 7:30:00 PM",Student,1,8.25,8.25
0 - Features,A Ghost Story,A Ghost Story,"Aug 4, 2017 7:00:00 PM",Adult,16,9.75,156
0 - Features,A Ghost Story,A Ghost Story,"Aug 4, 2017 7:00:00 PM",Senior Citizen,3,8,24
0 - Features,A Ghost Story,A Ghost Story,"Aug 4, 2017 7:00:00 PM",Student,6,8.25,49.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 5, 2017 7:00:00 PM",Adult,9,9.75,87.75
0 - Features,A Ghost Story,A Ghost Story,"Aug 5, 2017 7:00:00 PM",Senior Citizen,12,8,96
0 - Features,A Ghost Story,A Ghost Story,"Aug 5, 2017 7:00:00 PM",Student,2,8.25,16.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 6, 2017 4:30:00 PM",Adult,9,8.25,74.25
0 - Features,A Ghost Story,A Ghost Story,"Aug 6, 2017 4:30:00 PM",Senior Citizen,9,7.50,67.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 6, 2017 4:30:00 PM",Student,1,7.50,7.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 7, 2017 5:00:00 PM",Adult,10,8.25,82.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 7, 2017 5:00:00 PM",Senior Citizen,5,7.50,37.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 7, 2017 5:00:00 PM",Student,1,7.50,7.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 8, 2017 5:00:00 PM",Adult,9,8.25,74.25
0 - Features,A Ghost Story,A Ghost Story,"Aug 8, 2017 5:00:00 PM",Senior Citizen,6,7.50,45
0 - Features,A Ghost Story,A Ghost Story,"Aug 8, 2017 5:00:00 PM",Student,1,7.50,7.50
0 - Features,A Ghost Story,A Ghost Story,"Aug 9, 2017 9:30:00 PM",Adult,11,9.75,107.25
0 - Features,A Ghost Story,A Ghost Story,"Aug 9, 2017 9:30:00 PM",Student,7,8.25,57.75
0 - Features,A Ghost Story,A Ghost Story,"Aug 10, 2017 9:30:00 PM",Adult,4,9.75,39
0 - Features,A Ghost Story,A Ghost Story,"Aug 10, 2017 9:30:00 PM",Student,4,8.25,33
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 14, 2016 5:00:00 PM",Adult,14,8.25,115.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 14, 2016 5:00:00 PM",Comp,1,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 14, 2016 5:00:00 PM",Senior Citizen,18,7.50,135
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 14, 2016 7:30:00 PM",Adult,14,9.75,136.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 14, 2016 7:30:00 PM",Comp,3,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 14, 2016 7:30:00 PM",Senior Citizen,30,8,240
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 14, 2016 7:30:00 PM",Student,7,8.25,57.75
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 15, 2016 2:00:00 PM",Adult,17,8.25,140.25
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 15, 2016 2:00:00 PM",Senior Citizen,40,7.50,300
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 15, 2016 2:00:00 PM",Student,2,7.50,15
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 15, 2016 7:30:00 PM",Adult,25,9.75,243.75
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 15, 2016 7:30:00 PM",Child,1,6.50,6.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 15, 2016 7:30:00 PM",Senior Citizen,20,8,160
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 15, 2016 7:30:00 PM",Student,4,8.25,33
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 16, 2016 6:00:00 PM",Adult,24,9.75,234
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 16, 2016 6:00:00 PM",Member,1,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 16, 2016 6:00:00 PM",Senior Citizen,36,8,288
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 16, 2016 6:00:00 PM",Student,4,8.25,33
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 16, 2016 8:30:00 PM",Adult,6,9.75,58.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 16, 2016 8:30:00 PM",Senior Citizen,6,8,48
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 16, 2016 8:30:00 PM",Student,3,8.25,24.75
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 17, 2016 5:00:00 PM",Adult,17,8.25,140.25
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 17, 2016 5:00:00 PM",Senior Citizen,22,7.50,165
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 17, 2016 5:00:00 PM",Student,2,7.50,15
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 18, 2016 4:30:00 PM",Adult,11,8.25,90.75
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 18, 2016 4:30:00 PM",Senior Citizen,30,7.50,225
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 19, 2016 4:30:00 PM",Adult,7,8.25,57.75
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 19, 2016 4:30:00 PM",Comp,2,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 19, 2016 4:30:00 PM",Senior Citizen,30,7.50,225
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 20, 2016 5:00:00 PM",Adult,14,8.25,115.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 20, 2016 5:00:00 PM",Senior Citizen,31,7.50,232.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 20, 2016 5:00:00 PM",Student,2,7.50,15
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 20, 2016 7:30:00 PM",Adult,17,9.75,165.75
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 20, 2016 7:30:00 PM",Member,2,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 20, 2016 7:30:00 PM",Senior Citizen,20,8,160
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 20, 2016 7:30:00 PM",Student,1,8.25,8.25
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 28, 2016 7:30:00 PM",Adult,15,9.75,146.25
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 28, 2016 7:30:00 PM",Senior Citizen,21,8,168
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 28, 2016 7:30:00 PM",Student,4,8.25,33
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 29, 2016 2:30:00 PM",Adult,1,8.25,8.25
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 29, 2016 2:30:00 PM",Senior Citizen,7,7.50,52.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 29, 2016 7:30:00 PM",Adult,23,9.75,224.25
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 29, 2016 7:30:00 PM",Child,1,6.50,6.50
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 29, 2016 7:30:00 PM",Senior Citizen,31,8,248
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 29, 2016 7:30:00 PM",Student,4,8.25,33
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 30, 2016 1:00:00 PM",Adult,15,8.25,123.75
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 30, 2016 1:00:00 PM",Senior Citizen,32,7.50,240
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 31, 2016 7:30:00 PM",Adult,11,9.75,107.25
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 31, 2016 7:30:00 PM",Member,2,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Oct 31, 2016 7:30:00 PM",Senior Citizen,19,8,152
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 2, 2016 6:00:00 PM",Adult,4,9.75,39
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 2, 2016 6:00:00 PM",Member,2,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 2, 2016 6:00:00 PM",Senior Citizen,5,8,40
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 2, 2016 6:00:00 PM",Student,1,8.25,8.25
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 2, 2016 8:30:00 PM",Adult,2,9.75,19.50
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 3, 2016 7:30:00 PM",Adult,17,9.75,165.75
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 3, 2016 7:30:00 PM",Member,1,0,0
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 3, 2016 7:30:00 PM",Senior Citizen,29,8,232
0 - Features,A Man Called Ove,A Man Called Ove,"Nov 3, 2016 7:30:00 PM",Student,4,8.25,33
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 16, 2017 2:15:00 PM",Adult,13,8.25,107.25
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 16, 2017 2:15:00 PM",Senior Citizen,21,7.50,157.50
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 16, 2017 2:15:00 PM",Student,1,7.50,7.50
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 17, 2017 2:15:00 PM",Adult,25,8.25,206.25
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 17, 2017 2:15:00 PM",Senior Citizen,46,7.50,345
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 19, 2017 7:00:00 PM",Adult,28,9.75,273
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 19, 2017 7:00:00 PM",Comp,2,0,0
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 19, 2017 7:00:00 PM",Senior Citizen,58,8,464
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 19, 2017 7:00:00 PM",Student,12,8.25,99
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 21, 2017 2:15:00 PM",Adult,10,8.25,82.50
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 21, 2017 2:15:00 PM",Senior Citizen,30,7.50,225
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 23, 2017 4:15:00 PM",Adult,16,8.25,132
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 23, 2017 4:15:00 PM",Senior Citizen,32,7.50,240
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 23, 2017 4:15:00 PM",Student,7,7.50,52.50
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 24, 2017 2:15:00 PM",Adult,24,8.25,198
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 24, 2017 2:15:00 PM",Comp,2,0,0
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 24, 2017 2:15:00 PM",Senior Citizen,42,7.50,315
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 24, 2017 2:15:00 PM",Student,1,7.50,7.50
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 29, 2017 4:45:00 PM",Adult,11,8.25,90.75
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 29, 2017 4:45:00 PM",Senior Citizen,36,7.50,270
0 - Features,A Quiet Passion,A Quiet Passion,"Jun 29, 2017 4:45:00 PM",Student,5,7.50,37.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 10, 2017 5:00:00 PM",Adult,12,8.25,99
0 - Features,A United Kingdom,A United Kingdom,"Mar 10, 2017 5:00:00 PM",Senior Citizen,12,7.50,90
0 - Features,A United Kingdom,A United Kingdom,"Mar 10, 2017 5:00:00 PM",Student,2,7.50,15
0 - Features,A United Kingdom,A United Kingdom,"Mar 10, 2017 7:30:00 PM",Adult,13,9.75,126.75
0 - Features,A United Kingdom,A United Kingdom,"Mar 10, 2017 7:30:00 PM",Child,2,6.50,13
0 - Features,A United Kingdom,A United Kingdom,"Mar 10, 2017 7:30:00 PM",Senior Citizen,11,8,88
0 - Features,A United Kingdom,A United Kingdom,"Mar 10, 2017 7:30:00 PM",Student,1,8.25,8.25
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 2:30:00 PM",Adult,20,8.25,165
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 2:30:00 PM",Senior Citizen,19,7.50,142.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 2:30:00 PM",Student,3,7.50,22.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 5:00:00 PM",Adult,13,8.25,107.25
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 5:00:00 PM",Child,1,6.50,6.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 5:00:00 PM",Senior Citizen,6,7.50,45
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 7:30:00 PM",Adult,15,9.75,146.25
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 7:30:00 PM",Senior Citizen,18,8,144
0 - Features,A United Kingdom,A United Kingdom,"Mar 11, 2017 7:30:00 PM",Student,6,8.25,49.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 3:00:00 PM",Adult,10,8.25,82.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 3:00:00 PM",Senior Citizen,16,7.50,120
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 3:00:00 PM",Student,4,7.50,30
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 5:30:00 PM",Adult,11,8.25,90.75
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 5:30:00 PM",Comp,2,0,0
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 5:30:00 PM",Senior Citizen,5,7.50,37.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 8:00:00 PM",Adult,2,9.75,19.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 8:00:00 PM",Senior Citizen,2,8,16
0 - Features,A United Kingdom,A United Kingdom,"Mar 12, 2017 8:00:00 PM",Student,4,8.25,33
0 - Features,A United Kingdom,A United Kingdom,"Mar 13, 2017 5:00:00 PM",Adult,1,8.25,8.25
0 - Features,A United Kingdom,A United Kingdom,"Mar 13, 2017 5:00:00 PM",Senior Citizen,4,7.50,30
0 - Features,A United Kingdom,A United Kingdom,"Mar 13, 2017 5:00:00 PM",Student,2,7.50,15
0 - Features,A United Kingdom,A United Kingdom,"Mar 13, 2017 7:30:00 PM",Adult,6,9.75,58.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 13, 2017 7:30:00 PM",Senior Citizen,4,8,32
0 - Features,A United Kingdom,A United Kingdom,"Mar 14, 2017 4:30:00 PM",Student,1,7.50,7.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 2:30:00 PM",Adult,2,8.25,16.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 2:30:00 PM",Senior Citizen,3,7.50,22.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 5:00:00 PM",Adult,4,8.25,33
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 5:00:00 PM",Senior Citizen,4,7.50,30
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 5:00:00 PM",Student,1,7.50,7.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 7:30:00 PM",Adult,3,9.75,29.25
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 7:30:00 PM",Senior Citizen,6,8,48
0 - Features,A United Kingdom,A United Kingdom,"Mar 15, 2017 7:30:00 PM",Student,2,8.25,16.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 16, 2017 2:30:00 PM",Adult,2,8.25,16.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 16, 2017 2:30:00 PM",Senior Citizen,7,7.50,52.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 16, 2017 5:00:00 PM",Senior Citizen,5,7.50,37.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 16, 2017 7:30:00 PM",Adult,1,9.75,9.75
0 - Features,A United Kingdom,A United Kingdom,"Mar 16, 2017 7:30:00 PM",Senior Citizen,1,8,8
0 - Features,A United Kingdom,A United Kingdom,"Mar 16, 2017 7:30:00 PM",Student,3,8.25,24.75
0 - Features,A United Kingdom,A United Kingdom,"Mar 17, 2017 4:30:00 PM",Adult,7,8.25,57.75
0 - Features,A United Kingdom,A United Kingdom,"Mar 17, 2017 4:30:00 PM",Senior Citizen,9,7.50,67.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 17, 2017 4:30:00 PM",Student,2,7.50,15
0 - Features,A United Kingdom,A United Kingdom,"Mar 17, 2017 7:00:00 PM",Adult,14,9.75,136.50
0 - Features,A United Kingdom,A United Kingdom,"Mar 17, 2017 7:00:00 PM",Senior Citizen,10,8,80
0 - Features,A United Kingdom,A United Kingdom,"Mar 17, 2017 7:00:00 PM",Student,1,8.25,8.25
0 - Features,A United Kingdom,A United Kingdom,"Mar 18, 2017 1:15:00 PM",Adult,11,8.25,90.75
